track,Date,Chamber,track_AP,track_ML ,Cortex ,Quiet,SC,Track ,RF_theta,RF amp.,.plx ,delay_num_trials,catSearchPHYSIOL_num_trials,delayANTI_num_trials, catSearchPHYSIOL_SfN2017,#units,Comments,Unnamed: 18
T1,2017-01-10,SC,,,14.0,17.0,23.6,,Up & Rt,5.0,,,,,,,SC,
FEF1,2017-02-21,FEF,0,3L,,,,,,,,,,,,,,
T2,2017-03-08,SC,4P,3L,12.0,18.0,21.9,,,,,,,,,,Sounds like SC,
T3,2017-03-10,SC,4P,2L,7.0,15.8,21.9,,,,,,,,,,Probably SC - unknown tonic activity,
T4_1,2017-03-21,SC,4P,4L,8.5,21.7,23.2,23.6,15,6.0,Peanut.plx,10.0,,,,,trying delay task  but subject is not motivated,
T4_2,2017-03-21,SC,4P,4L,8.5,21.7,23.2,23.9,15,6.0,Peanut2.plx,13.0,43.0,,,,shaking chair,
T4_2b,2017-03-21,SC,4P,4L,8.5,21.7,23.2,23.9,15,6.0,Peanut3.plx,12.0,96.0,,SfN17_Peanut_T4_2b-01,1,shaking chair,
T5_1,2017-03-23,SC,4P,4L,11.5,20.0,21.5,22.2,10,10.0,Peanut_032317,11.0,117.0,,SfN17_Peanut_T5_1-01,1,,
T5_1b,2017-03-23,SC,4P,4L,11.5,20.0,21.5,22.2,10,10.0,Peanut_032317_2,7.0,,,,,,
T5_1c,2017-03-23,SC,4P,4L,11.5,20.0,21.5,22.2,10,10.0,Peanut_032317_3,10.0,21.0,,,,,
T6,2017-03-24,SC,4P,3L,12.0,16.5,22.9,,,,,,,,,,post-saccadic? Pulvinar? 25.4 @bottom,
T7_1,2017-03-28,SC,,,11.0,20.0,21.5,22.0,0,10.0,Peanut_032817,11.0,22.0,,SfN17_Peanut_T7_1-02,2,VM cell. Subject shaking towards end,
T7_1b ,2017-03-28,SC,,,11.0,20.0,21.5,22.0,0,10.0,Peanut_032817_2,,182.0,,SfN17_Peanut_T7_1b -01,1,restarted collection (same depth),
T8_1,2017-03-29,SC,4P,5L,11.4,14.2,15.3,21.8,45,4.0,Peanut_032917,14.0,108.0,,SfN17_Peanut_T8_1-01,1,EM related??,
T8_2,2017-03-29,SC,4P,5L,11.4,14.2,15.3,22.0,45,4.0,Peanut_032917_2,7.0,6.0,,,,lost motivation only recorded a few delay trials,
FEF2,2017-04-12,FEF,0,4L,35.6,,,36.4,45,6.0,,,,,,,moved deeper & descri be nice FEF cells,
T9_1,2017-04-13,SC,5P,3R,10.0,20.7,21.9,21.9,165,8.0,Peanut_041317_1,,,,,,systems test?,
